tag,site,vac_type,num_ticks_pos_c,num_ticks_pos_igs,overall_num_pos,num_ticks_proc_c,num_ticks_proc_igs,overall_num_ticks_proc,perc_ticks_inf_c,perc_ticks_inf_igs,overall_perc_inf,notes
H4566,,control,6,6,6,6,6,6,100,100,100,1 individual had a band at 750bps. Likely Borrelia miyamotoi
H4568,,control,6,6,6,6,6,6,100,100,100,
H4662,,control,5,4,6,6,6,6,83.33333333,66.66666667,100,
H5314,,control,5,4,5,6,6,6,83.33333333,66.66666667,83.33333333,
H5352,,control,4,4,5,6,6,6,66.66666667,66.66666667,83.33333333,
H5356,,control,5,5,6,6,6,6,83.33333333,83.33333333,100,
H5728,,control,6,5,6,6,6,6,100,83.33333333,100,
H5730,,control,6,6,6,6,6,6,100,100,100,
H5764,,control,5,6,5,6,6,6,83.33333333,100,83.33333333,
H5768,,control,1,1,1,6,6,6,16.66666667,16.66666667,16.66666667,
H5776,,control,3,3,3,4,4,4,75,75,75,
H5790,,control,5,6,5,6,6,6,83.33333333,100,83.33333333,
H5806,,control,0,0,0,6,6,6,0,0,0,1 individual had a band at 750bps. Likely Borrelia miyamotoi
H6422,,control,0,0,0,6,6,6,0,0,0,
H6453,,control,3,0,3,6,6,6,50,0,50,
H6468,,control,2,3,2,6,6,6,33.33333333,50,33.33333333,
H6477,,control,1,1,2,6,6,6,16.66666667,16.66666667,33.33333333,1 individual had a band at 750bps. Likely Borrelia miyamotoi
H7101,,control,1,0,1,6,6,6,16.66666667,0,16.66666667,
E4631_E4649_E6777,TX,sham,7,7,7,7,7,7,100,100,100,
E6707_E6746_E4695,TX,sham,4,4,4,5,5,5,80,80,80,
E5362,HX,sham,5,6,5,6,6,6,83.33333333,100,83.33333333,
E7358_E5372,HX,sham,5,3,6,6,6,6,83.33333333,50,100,1 individual had a band at 750bps. Likely Borrelia miyamotoi
E5394,TX,sham,0,0,0,4,4,4,0,0,0,
E5911,GX,sham,3,4,5,6,6,6,50,66.66666667,83.33333333,
E5945,TX,sham,1,1,1,1,1,1,100,100,100,
E6111_E6070_E6019,GX,sham,1,0,1,6,6,6,16.66666667,0,16.66666667,
E6063,GX,sham,6,5,6,6,6,6,100,83.33333333,100,
E6113,GX,sham,1,0,1,6,6,6,16.66666667,0,16.66666667,
E6161,GX,sham,5,5,6,6,6,6,83.33333333,83.33333333,100,
E6192,GX,sham,5,5,5,6,6,6,83.3,83.3,83.3,
E6729,TX,sham,3,5,3,6,6,6,50.0,83.3,50.0,
E6734,TX,sham,6,6,6,7,7,7,85.7,85.7,85.7,
E6798,TX,sham,5,6,5,6,6,6,83.3,100.0,83.3,
E7309,HX,sham,4,4,4,5,5,5,80.0,80.0,80.0,
E7364_E7312,HX,sham,8,7,8,9,9,9,88.9,77.8,88.9,
E5398_E7365,HX,sham,4,5,4,6,6,6,66.7,83.3,66.7,
E7366,HX,sham,3,4,5,6,6,6,50.0,66.7,83.3,
E7407,HX,sham,1,0,1,6,6,6,16.7,0.0,16.7,
E4647,TX,TRUE ,5,4,5,6,6,6,83.3,66.7,83.3,1 individual had a band at 750bps. Likely Borrelia miyamotoi
E5286,HX,TRUE ,0,0,0,6,6,6,0.0,0.0,0.0,
E5299,HX,TRUE ,1,1,1,5,5,5,20.0,20.0,20.0,
E7380_E5392,HX,TRUE ,1,1,1,6,6,6,16.7,16.7,16.7,
E5972,GX,TRUE ,2,5,2,6,6,6,33.3,83.3,33.3,
E6174_E6024,GX,TRUE ,0,0,0,1,1,1,0.0,0.0,0.0,
E6054,GX,TRUE ,3,3,3,3,3,3,100.0,100.0,100.0,
E6059,GX,TRUE ,2,0,2,6,6,6,33.3,0.0,33.3,
E6088,GX,TRUE ,6,7,6,8,8,8,75.0,87.5,75.0,
E6122,GX,TRUE ,1,0,1,6,6,6,16.7,0.0,16.7,
E6125,GX,TRUE ,4,4,5,6,6,6,66.7,66.7,83.3,
E6143,GX,TRUE ,0,0,0,6,6,6,0.0,0.0,0.0,
E6157,GX,TRUE ,1,0,1,3,3,3,33.3,0.0,33.3,
E6163,GX,TRUE ,5,6,5,7,7,7,71.4,85.7,71.4,
E6731,TX,TRUE ,3,4,5,6,6,6,50.0,66.7,83.3,1 individual had a band at 750bps. Likely Borrelia miyamotoi
E6726_E6733,TX,TRUE ,4,5,4,6,6,6,66.7,83.3,66.7,
E6740,TX,TRUE ,4,4,4,6,6,6,66.7,66.7,66.7,
E6749,TX,TRUE ,1,0,1,6,6,6,16.7,0.0,16.7,
E4678_E6776_E4650_E6879,TX,TRUE ,1,1,2,6,6,6,16.7,16.7,33.3,
E7310,HX,TRUE ,5,3,5,6,6,6,83.3,50.0,83.3,
E7353,HX,TRUE ,5,4,5,6,6,6,83.3,66.7,83.3,
E7409,HX,TRUE ,2,2,4,6,6,6,33.3,33.3,66.7,
